Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A715683,*Brewster,10/10/2016 16:44,16-Oct,11/8/2013,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
A715684,,11/12/2015 19:17,15-Nov,11/8/2013,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie/White
A715685,*Betsy Lou,11/17/2015 12:55,15-Nov,11/8/2014,Transfer,Partner,Dog,Spayed Female,1 year,Shetland Sheepdog Mix,Tricolor
A715685,*Betsy Lou,11/14/2015 18:05,15-Nov,11/8/2014,Adoption,,Dog,Spayed Female,1 year,Shetland Sheepdog Mix,Tricolor
A715686,Hazel,11/10/2015 17:49,15-Nov,11/8/2014,Return to Owner,,Dog,Spayed Female,1 year,Boxer Mix,Fawn/Black
A715687,,11/8/2015 12:43,15-Nov,11/8/2013,Euthanasia,Suffering,Dog,Intact Female,2 years,Yorkshire Terrier Mix,Brown/Black
A715688,*Luna,12/4/2015 17:57,15-Dec,9/23/2015,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A715689,*Chino,2/9/2016 14:11,16-Feb,9/23/2015,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A715690,*Sophia,12/2/2015 18:20,15-Dec,9/23/2015,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A715692,,12/23/2015 12:08,15-Dec,10/8/2015,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
A715693,,12/23/2015 12:19,15-Dec,10/8/2015,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
A715694,,12/26/2015 13:34,15-Dec,10/8/2015,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A715695,,12/23/2015 12:08,15-Dec,10/8/2015,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black
A715696,*Princess,11/30/2015 0:00,15-Nov,11/8/2013,Transfer,Partner,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Brown
A715697,,11/13/2015 17:13,15-Nov,9/14/2015,Adoption,,Dog,Neutered Male,1 month,Dachshund Mix,White/Black
A715698,Gilbert,2/28/2016 15:19,16-Feb,11/8/2008,Transfer,Partner,Dog,Neutered Male,7 years,Pit Bull Mix,Chocolate/White
A715698,Gilbert,11/29/2015 18:26,15-Nov,11/8/2008,Adoption,,Dog,Neutered Male,7 years,Pit Bull Mix,Chocolate/White
A715699,Buck,11/17/2015 0:00,15-Nov,1/12/2015,Transfer,Partner,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Brown Tabby/White
A715700,Minnie,11/17/2015 0:00,15-Nov,1/12/2015,Transfer,Partner,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby
A715701,,11/8/2015 15:50,15-Nov,11/8/2007,Euthanasia,Suffering,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A715702,*Kojak,11/15/2015 14:16,15-Nov,1/8/2015,Transfer,Partner,Dog,Intact Male,10 months,Chihuahua Shorthair/Dachshund,Brown
A715703,Scarlett,12/19/2015 17:37,15-Dec,5/8/2014,Adoption,,Dog,Spayed Female,1 year,Carolina Dog Mix,Tan
A715704,*Happy,11/22/2017 17:06,17-Nov,11/8/2013,Adoption,,Dog,Neutered Male,4 years,Boxer/Beagle,White/Brown
A715704,*Happy,2/8/2023 14:36,23-Feb,11/8/2013,Adoption,Foster,Dog,Neutered Male,9 years,Boxer/Beagle,White/Brown
A715704,*Happy,11/27/2015 13:45,15-Nov,11/8/2013,Adoption,,Dog,Neutered Male,2 years,Boxer/Beagle,White/Brown
A715705,Freya,11/22/2015 18:45,15-Nov,11/8/2013,Adoption,,Dog,Spayed Female,2 years,Bullmastiff/Black Mouth Cur,Fawn/Black
A715706,,11/8/2015 17:48,15-Nov,10/1/2015,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A715707,Cookie,11/9/2015 11:08,15-Nov,11/8/2014,Transfer,Partner,Other,Intact Female,1 year,Guinea Pig Mix,Brown
A715708,,11/8/2015 15:17,15-Nov,11/8/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A715709,,11/13/2015 17:55,15-Nov,11/8/2013,Adoption,,Dog,Spayed Female,2 years,Pekingese Mix,White/Black
A715710,,11/12/2015 13:32,15-Nov,11/8/2014,Transfer,Partner,Other,Intact Male,1 year,Rat Mix,Brown
A715711,*Prince,11/15/2015 16:49,15-Nov,5/8/2015,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
A715712,,11/8/2015 15:16,15-Nov,11/8/2014,Euthanasia,Medical,Other,Unknown,1 year,Squirrel,Brown
A715713,,11/28/2016 14:34,16-Nov,11/8/2014,Euthanasia,Suffering,Other,Intact Male,2 years,Rat Mix,White/Brown
A715713,,11/12/2015 11:40,15-Nov,11/8/2014,Adoption,,Other,Intact Male,1 year,Rat Mix,White/Brown
A715714,,11/12/2015 13:32,15-Nov,11/8/2014,Transfer,Partner,Other,Intact Male,1 year,Rat Mix,White/Blue
A715715,Thibodaux,11/25/2015 16:49,15-Nov,11/8/2012,Transfer,Partner,Dog,Neutered Male,3 years,Catahoula,Black/Brown
A715716,Margo,5/22/2016 19:00,16-May,3/8/2015,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Brown
A715716,Margo,12/13/2015 12:45,15-Dec,3/8/2015,Return to Owner,,Dog,Spayed Female,9 months,German Shepherd Mix,Brown
A715716,Margo,11/13/2015 18:25,15-Nov,3/8/2015,Return to Owner,,Dog,Spayed Female,8 months,German Shepherd Mix,Brown
A715717,Andy,11/13/2015 18:26,15-Nov,3/8/2015,Return to Owner,,Dog,Neutered Male,8 months,Australian Shepherd Mix,White/Brown
A715718,*Smokey,11/14/2015 17:30,15-Nov,11/8/2014,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown Brindle
A715718,*Smokey,2/2/2021 12:27,21-Feb,11/8/2014,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Brown Brindle
A715719,,11/11/2015 19:24,15-Nov,11/8/2013,Return to Owner,,Dog,Intact Male,2 years,Dachshund Longhair/Chihuahua Longhair,Black/Tan
A715721,Sharpie,2/13/2016 11:04,16-Feb,10/5/2015,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A715723,*Coco,11/19/2015 15:20,15-Nov,11/8/2013,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Chocolate/White
A715724,,11/13/2015 13:25,15-Nov,8/8/2015,Return to Owner,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A715729,Milo,5/31/2018 14:25,18-May,11/9/2011,Return to Owner,,Dog,Neutered Male,6 years,Siberian Husky,White/Gray
A715729,Milo,11/9/2015 13:24,15-Nov,11/9/2011,Return to Owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
A715731,Bullet,11/12/2015 16:38,15-Nov,11/9/2013,Return to Owner,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Brown/White
A715732,*Jess,11/27/2015 12:43,15-Nov,8/9/2015,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Orange/White
A715733,,11/9/2015 0:00,15-Nov,10/31/2015,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Orange/Orange Tabby
A715735,Nico,11/13/2015 12:59,15-Nov,11/9/2014,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan
A715736,,11/10/2015 9:00,15-Nov,1/9/2015,Transfer,SCRP,Cat,Unknown,10 months,Domestic Longhair Mix,Blue Tabby/White
A715737,Jeevees,11/9/2015 17:54,15-Nov,11/9/2011,Return to Owner,,Dog,Neutered Male,4 years,Great Dane,Black/White
A715738,*Luna,11/15/2015 12:27,15-Nov,11/9/2014,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever,Brown/White
A715739,Rupert,11/9/2015 12:14,15-Nov,11/9/1998,Euthanasia,Suffering,Dog,Neutered Male,17 years,Australian Shepherd Mix,Brown Brindle
A715740,*Hoshi,11/17/2015 0:00,15-Nov,8/9/2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black Tabby/White
A715741,Simba,11/19/2015 18:45,15-Nov,11/9/2012,Adoption,,Dog,Neutered Male,3 years,Chow Chow Mix,Red
A715743,*Buddy,1/26/2016 14:41,16-Jan,11/9/2010,Adoption,Foster,Dog,Neutered Male,5 years,Labrador Retriever Mix,Buff
A715744,*Will,11/15/2015 9:05,15-Nov,10/9/2015,Died,At Vet,Cat,Intact Male,1 month,Siamese Mix,Flame Point
A715745,*Wren,11/16/2015 15:20,15-Nov,10/15/2015,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A715746,,11/10/2015 9:00,15-Nov,11/9/2014,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
A715747,Scarlet,11/10/2015 11:08,15-Nov,11/9/2007,Return to Owner,,Dog,Spayed Female,8 years,Pug Mix,Tan/Black
A715748,,11/10/2015 8:07,15-Nov,11/9/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A715749,,11/10/2015 9:00,15-Nov,11/9/2013,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Longhair Mix,Orange Tabby/White
A715750,Luther,11/20/2015 18:27,15-Nov,11/9/2013,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
A715751,Tiger,11/9/2015 12:55,15-Nov,1/9/2015,Euthanasia,Suffering,Dog,Intact Female,9 months,Pit Bull Mix,Brown Brindle/White
A715752,*Jenni,1/12/2016 10:09,16-Jan,9/24/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A715753,Silver,11/9/2015 19:05,15-Nov,12/9/2013,Return to Owner,,Dog,Intact Male,1 year,Siberian Husky,Black/White
A715753,Silver,3/12/2017 12:31,17-Mar,12/9/2013,Return to Owner,,Dog,Intact Male,3 years,Siberian Husky,Black/White
A715754,,11/18/2015 12:27,15-Nov,9/24/2015,Adoption,Foster,Dog,Neutered Male,1 month,Dachshund Mix,Black/Tan
A715755,,11/17/2015 0:00,15-Nov,9/24/2015,Adoption,,Dog,Spayed Female,1 month,Dachshund Mix,Blue Merle
A715756,,11/10/2015 9:00,15-Nov,11/9/2014,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black
A715757,,11/14/2015 18:20,15-Nov,8/9/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A715758,,11/10/2015 11:57,15-Nov,9/21/2015,Died,In Kennel,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A715760,Spartacus,12/17/2015 15:28,15-Dec,11/9/2014,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A715761,,11/10/2015 9:00,15-Nov,11/9/2010,Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
A715762,Grimm,11/9/2015 14:31,15-Nov,11/9/2014,Return to Owner,,Dog,Neutered Male,1 year,Border Collie Mix,Black/White
A715764,Walt,11/14/2015 14:06,15-Nov,11/9/2005,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A715765,Mickey,11/20/2015 14:32,15-Nov,11/9/2012,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/Black
A715767,Dax,11/13/2015 12:59,15-Nov,11/9/2012,Transfer,Partner,Dog,Intact Male,3 years,Yorkshire Terrier/Border Terrier,Tan/Gray
A715769,M. Kiki,12/10/2015 13:11,15-Dec,11/9/2001,Transfer,Partner,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Orange Tabby
A715770,Junebug,11/9/2015 19:02,15-Nov,11/9/2006,Return to Owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Black/Tan
A715771,Pharaoh,12/4/2015 17:42,15-Dec,11/9/2012,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A715772,,11/13/2015 19:07,15-Nov,11/9/2014,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer/Yorkshire Terrier,Gray/Tan
A715773,*Nemo,11/15/2015 12:27,15-Nov,11/9/2014,Transfer,Partner,Dog,Neutered Male,1 year,Cairn Terrier Mix,White
A715774,Bruno,11/17/2015 11:34,15-Nov,11/9/2013,Transfer,Partner,Dog,Neutered Male,2 years,American Staffordshire Terrier/American Bulldog,Brown Brindle/White
A715775,*Marla,1/7/2016 19:13,16-Jan,11/9/2014,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black
A715776,Kilo,11/13/2015 11:53,15-Nov,11/9/2014,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd/Boxer,Brown Brindle/White
A715778,*Sugar,11/16/2015 14:16,15-Nov,11/9/2014,Transfer,Partner,Cat,Spayed Female,1 year,Siamese Mix,Tortie Point/Lynx Point
A715779,,11/10/2015 8:02,15-Nov,11/9/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A715786,,11/10/2015 9:00,15-Nov,11/10/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A715788,Wolf,1/18/2016 16:14,16-Jan,11/10/2014,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,Gray/White
A715788,Wolf,11/10/2015 14:41,15-Nov,11/10/2014,Return to Owner,,Dog,Intact Male,1 year,Siberian Husky,Gray/White
A715789,Socks,2/13/2016 11:05,16-Feb,10/20/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A715791,Dude,4/29/2018 12:12,18-Apr,11/10/2013,Return to Owner,,Dog,Neutered Male,4 years,Chow Chow Mix,Brown/Black
A715791,Dude,11/19/2015 12:26,15-Nov,11/10/2013,Return to Owner,,Dog,Neutered Male,2 years,Chow Chow Mix,Brown/Black
A715792,Liko,11/27/2015 16:59,15-Nov,3/10/2015,Adoption,,Dog,Intact Male,8 months,Labrador Retriever Mix,Black/White
A715793,,11/15/2015 12:27,15-Nov,3/10/2015,Transfer,Partner,Dog,Intact Male,8 months,Carolina Dog Mix,Tan/Black
A715794,,11/14/2015 18:14,15-Nov,11/10/2013,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A715795,Nutmeg,1/18/2016 12:24,16-Jan,9/25/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A715797,,11/11/2015 11:38,15-Nov,10/10/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A715798,,11/11/2015 11:39,15-Nov,10/10/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A715799,,11/11/2015 11:39,15-Nov,10/10/2015,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A715800,Cheeto,11/20/2015 13:43,15-Nov,11/10/2013,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A715800,Cheeto,12/15/2015 15:14,15-Dec,11/10/2013,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A715800,Cheeto,11/15/2015 18:31,15-Nov,11/10/2013,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A715801,Oso Jr,11/14/2015 12:32,15-Nov,3/31/2010,Transfer,Partner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Tan
A715803,,11/11/2015 16:45,15-Nov,10/6/2015,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A715804,*Frump,11/16/2015 13:34,15-Nov,11/10/2013,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,Brown/White
A715805,Taffy,11/11/2015 17:42,15-Nov,11/10/2004,Return to Owner,,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Orange Tabby/White
A715806,*Samantha,12/23/2015 17:04,15-Dec,11/10/2013,Adoption,,Dog,Spayed Female,2 years,Boxer/Labrador Retriever,Black
A715807,*Franz,1/15/2016 16:59,16-Jan,8/10/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A715808,Pierre,1/3/2016 18:38,16-Jan,8/10/2015,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A715808,Pierre,2/13/2016 17:43,16-Feb,8/10/2015,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black
A715809,,11/14/2015 19:10,15-Nov,7/26/2015,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A715810,,11/14/2015 19:29,15-Nov,11/10/2014,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
A715811,,11/13/2015 13:42,15-Nov,11/10/2014,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Blue Tabby
A715812,,11/15/2015 18:01,15-Nov,1/10/2015,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
A715813,Lola,12/24/2015 13:57,15-Dec,11/10/2014,Adoption,,Dog,Intact Female,1 year,Black/Tan Hound,Black/Tan
A715813,Lola,3/15/2016 18:28,16-Mar,11/10/2014,Return to Owner,,Dog,Spayed Female,1 year,Black/Tan Hound,Black/Tan
A715814,*Rae,11/20/2015 12:07,15-Nov,7/10/2015,Adoption,,Dog,Spayed Female,4 months,Labrador Retriever Mix,Red/White
A715816,Chula,11/15/2015 17:26,15-Nov,11/10/2014,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Chocolate/Tan
A715817,Kyuss,11/24/2015 18:06,15-Nov,11/12/2010,Adoption,,Dog,Spayed Female,5 years,Dachshund Mix,Black
A715817,Kyuss,12/12/2015 17:07,15-Dec,11/12/2010,Adoption,,Dog,Spayed Female,5 years,Dachshund Mix,Black
A715819,,11/15/2015 18:28,15-Nov,5/10/2015,Adoption,,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Black/Brown
A715820,*Pru,11/17/2015 0:00,15-Nov,8/10/2015,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A715821,*Piper,11/15/2015 15:40,15-Nov,8/10/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A715822,*Phoebes,11/13/2015 18:12,15-Nov,8/10/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Tortie
A715825,Chubbs,3/28/2016 0:00,16-Mar,11/30/2014,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Brown/White
A715825,Chubbs,11/25/2015 16:41,15-Nov,11/30/2014,Return to Owner,,Dog,Neutered Male,11 months,Labrador Retriever/Pit Bull,Brown/White
A715825,Chubbs,1/14/2019 13:03,19-Jan,11/30/2014,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever/Pit Bull,Brown/White
A715826,,11/10/2015 18:34,15-Nov,5/10/2015,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat,Brown
A715827,Peewee,11/13/2015 17:04,15-Nov,11/10/2014,Return to Owner,,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Silver
A715828,Zeus,11/27/2015 16:31,15-Nov,11/10/2010,Adoption,,Dog,Intact Male,5 years,Labrador Retriever Mix,Gold
A715829,Coco,11/25/2015 17:23,15-Nov,1/10/2015,Return to Owner,,Dog,Neutered Male,10 months,Golden Retriever Mix,Red/White
A715830,*Farley,12/12/2015 17:53,15-Dec,11/10/2007,Adoption,,Dog,Neutered Male,8 years,English Bulldog/Beagle,Brown/Black
A715831,Cheif,11/15/2015 17:53,15-Nov,8/10/2015,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White
A715833,Squirt,11/13/2015 16:51,15-Nov,11/10/2014,Euthanasia,Suffering,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Black
A715834,*Turkey,11/16/2015 18:05,15-Nov,11/11/2012,Euthanasia,Suffering,Cat,Neutered Male,3 years,Siamese Mix,Lilac Point/White
A715835,*Mopac,12/10/2015 15:25,15-Dec,9/11/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A715836,*Emmylou,11/30/2015 11:18,15-Nov,11/11/2013,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Tan
A715837,,11/11/2015 11:35,15-Nov,10/20/2015,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
A715838,,11/11/2015 11:35,15-Nov,10/20/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A715839,,11/11/2015 11:36,15-Nov,10/20/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A715840,,11/11/2015 11:36,15-Nov,10/20/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A715843,Gabe,11/23/2015 17:44,15-Nov,11/11/2010,Adoption,,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
A715843,Gabe,11/30/2015 13:58,15-Nov,11/11/2010,Transfer,Partner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
A715845,Rosie,11/13/2015 17:36,15-Nov,11/11/2010,Return to Owner,,Dog,Spayed Female,5 years,Australian Shepherd Mix,Blue Merle/White
A715846,,11/15/2015 19:25,15-Nov,11/11/2012,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
A715850,Olaf,11/13/2015 18:28,15-Nov,11/11/2012,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Cream
A715850,Olaf,5/18/2016 0:00,16-May,11/11/2012,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Cream
A715851,Hermes,11/16/2015 18:30,15-Nov,5/11/2015,Adoption,,Dog,Neutered Male,6 months,Carolina Dog Mix,Sable
A715852,*Noodles,11/21/2015 15:05,15-Nov,8/11/2015,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A715855,Garfield,6/7/2016 14:51,16-Jun,8/11/2015,Adoption,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Orange Tabby
A715855,Garfield,12/22/2015 17:45,15-Dec,8/11/2015,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
A715856,,11/15/2015 19:21,15-Nov,11/11/2013,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A715857,,11/15/2015 19:08,15-Nov,11/11/2013,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A715858,,11/15/2015 18:59,15-Nov,6/11/2015,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,White/Gray
A715859,Chloe,11/13/2015 15:00,15-Nov,11/11/2014,Return to Owner,,Dog,Intact Female,1 year,Boxer,White/Brown
A715860,,11/12/2015 8:53,15-Nov,8/27/2015,Euthanasia,Rabies Risk,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A715861,*Molly,11/22/2015 12:01,15-Nov,11/11/2013,Adoption,,Dog,Spayed Female,2 years,Pug/Chihuahua Shorthair,Brown
A715861,*Molly,11/30/2015 0:00,15-Nov,11/11/2013,Transfer,Partner,Dog,Spayed Female,2 years,Pug/Chihuahua Shorthair,Brown
A715863,Coffee,11/14/2015 18:00,15-Nov,11/11/2013,Return to Owner,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
A715865,*Polly,11/21/2015 13:03,15-Nov,11/11/2012,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair/Dachshund,Black/White
A715868,,12/10/2015 12:41,15-Dec,9/11/2015,Euthanasia,Rabies Risk,Dog,Intact Female,2 months,Border Collie/Labrador Retriever,White/Black
A715869,Maxwell,11/17/2015 18:38,15-Nov,9/11/2015,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Chocolate/White
A715870,Rocky,8/21/2019 11:09,19-Aug,9/11/2015,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,White/Tan
A715870,Rocky,11/17/2015 16:45,15-Nov,9/11/2015,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,White/Tan
A715871,Sadie,11/17/2015 16:41,15-Nov,9/11/2015,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Chocolate/White
A715871,Sadie,8/21/2019 11:08,19-Aug,9/11/2015,Transfer,Partner,Dog,Spayed Female,3 years,Border Collie Mix,Chocolate/White
A715872,Bagel,10/20/2016 17:01,16-Oct,9/11/2015,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow
A715872,Bagel,11/17/2015 14:48,15-Nov,9/11/2015,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Yellow
A715873,Bear,3/2/2016 14:31,16-Mar,9/11/2015,Return to Owner,,Dog,Neutered Male,5 months,Border Collie Mix,Black/White
A715873,Bear,11/18/2015 16:36,15-Nov,9/11/2015,Adoption,,Dog,Neutered Male,2 months,Border Collie Mix,Black/White
A715875,Max,11/17/2015 16:22,15-Nov,9/11/2015,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,White/Brown
A715875,Max,1/19/2018 11:32,18-Jan,9/11/2015,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,White/Brown
A715876,Precious,11/25/2015 11:49,15-Nov,11/11/2012,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Tan
A715877,Jd,11/11/2015 18:22,15-Nov,11/11/2014,Return to Owner,,Dog,Unknown,1 year,Carolina Dog Mix,Tan
A715878,Clementine,11/15/2015 18:48,15-Nov,11/11/2013,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A715879,*Eva,12/19/2015 14:20,15-Dec,9/11/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A715880,Rhiannon,12/24/2015 15:06,15-Dec,9/11/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A715881,Mila,11/29/2015 14:03,15-Nov,11/11/2013,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie/White
A715882,Bear,11/29/2015 14:04,15-Nov,3/11/2015,Transfer,Partner,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black
A715883,,11/16/2015 16:44,15-Nov,11/11/2014,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black
A715884,Buppie,1/16/2016 16:45,16-Jan,11/11/2013,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Brown/White
A715884,Buppie,11/13/2015 17:15,15-Nov,11/11/2013,Return to Owner,,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Brown/White
A715885,,11/19/2015 17:16,15-Nov,8/27/2015,Adoption,,Dog,Spayed Female,2 months,Mastiff Mix,Brown Brindle/White
A715885,,11/17/2015 10:39,15-Nov,8/27/2015,Adoption,,Dog,Spayed Female,2 months,Mastiff Mix,Brown Brindle/White
A715886,,11/12/2015 14:24,15-Nov,10/24/2015,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
